region_id,matched_legend_id,match_score,symbol_final,symbol_terminal,symbol_html,symbol_latex,symbol_conf,legend_text,legend_color_name,legend_color_rgb,area_px,centroid_x,centroid_y
-29,28,,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",-1,-1,-1
-35,34,,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",-1,-1,-1
-19,18,,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",-1,-1,-1
-15,14,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[225, 221, 221]",-1,-1,-1
-43,42,,Unknown,Unknown,,Unknown,0.0,,indianred,"[226, 89, 88]",-1,-1,-1
-52,51,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[249, 246, 246]",-1,-1,-1
-54,53,,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",-1,-1,-1
-38,37,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[247, 244, 244]",-1,-1,-1
-18,17,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[250, 245, 245]",-1,-1,-1
-65,64,,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",-1,-1,-1
-39,38,,Unknown,Unknown,,Unknown,0.0,,linen,"[246, 238, 238]",-1,-1,-1
-53,52,,Unknown,Unknown,,Unknown,0.0,,tomato,"[240, 112, 70]",-1,-1,-1
-32,31,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[226, 226, 226]",-1,-1,-1
-11,10,,Unknown,Unknown,,Unknown,0.0,,crimson,"[238, 54, 46]",-1,-1,-1
-34,33,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[241, 241, 241]",-1,-1,-1
-13,12,,Unknown,Unknown,,Unknown,0.0,,wheat,"[229, 204, 160]",-1,-1,-1
-49,48,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[222, 222, 222]",-1,-1,-1
-7,6,,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[157, 200, 32]",-1,-1,-1
-59,58,,Unknown,Unknown,,Unknown,0.0,,snow,"[250, 250, 250]",-1,-1,-1
-21,20,,Unknown,Unknown,,Unknown,0.0,,yellowgreen,"[161, 221, 40]",-1,-1,-1
-37,36,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[243, 243, 243]",-1,-1,-1
-61,60,,Unknown,Unknown,,Unknown,0.0,,silver,"[191, 201, 201]",-1,-1,-1
-23,22,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[228, 228, 228]",-1,-1,-1
-5,4,,Unknown,Unknown,,Unknown,0.0,,greenyellow,"[213, 242, 64]",-1,-1,-1
-30,29,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[238, 238, 238]",-1,-1,-1
-14,13,,Unknown,Unknown,,Unknown,0.0,,khaki,"[235, 224, 122]",-1,-1,-1
-20,19,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[240, 240, 240]",-1,-1,-1
-24,23,,Unknown,Unknown,,Unknown,0.0,,palegoldenrod,"[240, 231, 164]",-1,-1,-1
-10,9,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[245, 245, 245]",-1,-1,-1
-64,63,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[239, 239, 239]",-1,-1,-1
-58,57,,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",-1,-1,-1
-22,21,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[241, 241, 241]",-1,-1,-1
-3,2,,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 229, 88]",-1,-1,-1
-25,24,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[239, 239, 239]",-1,-1,-1
-17,16,,Unknown,Unknown,,Unknown,0.0,,khaki,"[232, 240, 86]",-1,-1,-1
-40,39,,Unknown,Unknown,,Unknown,0.0,,lavender,"[233, 233, 233]",-1,-1,-1
-9,8,,Unknown,Unknown,,Unknown,0.0,,khaki,"[237, 234, 86]",-1,-1,-1
-48,47,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[230, 230, 230]",-1,-1,-1
-26,25,,Unknown,Unknown,,Unknown,0.0,,limegreen,"[64, 236, 83]",-1,-1,-1
-33,32,,Unknown,Unknown,,Unknown,0.0,,beige,"[220, 245, 220]",-1,-1,-1
-8,7,,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 232, 101]",-1,-1,-1
-45,44,,Unknown,Unknown,,Unknown,0.0,,lightcyan,"[219, 245, 245]",-1,-1,-1
-63,62,,Unknown,Unknown,,Unknown,0.0,,lightgreen,"[98, 235, 118]",-1,-1,-1
-56,55,,Unknown,Unknown,,Unknown,0.0,,mistyrose,"[246, 220, 220]",-1,-1,-1
-2,1,,Unknown,Unknown,,Unknown,0.0,,khaki,"[235, 234, 88]",-1,-1,-1
-28,27,,Unknown,Unknown,,Unknown,0.0,,lavender,"[240, 214, 240]",-1,-1,-1
-12,11,,Unknown,Unknown,,Unknown,0.0,,khaki,"[234, 233, 106]",-1,-1,-1
-47,46,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[230, 230, 230]",-1,-1,-1
-16,15,,Unknown,Unknown,,Unknown,0.0,,khaki,"[234, 233, 107]",-1,-1,-1
-41,40,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[245, 245, 245]",-1,-1,-1
-27,26,,Unknown,Unknown,,Unknown,0.0,,khaki,"[232, 231, 115]",-1,-1,-1
-44,43,,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 121]",-1,-1,-1
-46,45,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[245, 245, 245]",-1,-1,-1
-31,30,,Unknown,Unknown,,Unknown,0.0,,gold,"[236, 234, 50]",-1,-1,-1
-55,54,,Unknown,Unknown,,Unknown,0.0,,lightgray,"[199, 212, 208]",-1,-1,-1
-6,5,,Unknown,Unknown,,Unknown,0.0,,yellow,"[241, 240, 63]",-1,-1,-1
-62,61,,Unknown,Unknown,,Unknown,0.0,,lightgray,"[211, 222, 212]",-1,-1,-1
-60,59,,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 237, 116]",-1,-1,-1
-57,56,,Unknown,Unknown,,Unknown,0.0,,lightgray,"[200, 210, 210]",-1,-1,-1
-1,0,,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 105]",-1,-1,-1
-42,41,,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[218, 224, 218]",-1,-1,-1
-51,50,,Unknown,Unknown,,Unknown,0.0,,whitesmoke,"[240, 240, 240]",-1,-1,-1
-4,3,,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",-1,-1,-1
-50,49,,Unknown,Unknown,,Unknown,0.0,,palegoldenrod,"[238, 238, 182]",-1,-1,-1
-36,35,,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",-1,-1,-1
0,2,0.9833999493389963,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 229, 88]",579599,3258.5,2810.0
1,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",24497,5825.666666666667,563.5
2,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",25212,1128.875,566.5
3,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",12895,4577.25,566.625
4,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",24541,2666.625,567.875
5,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",13027,3382.3333333333335,573.25
6,48,0.7711391731402164,Unknown,Unknown,,Unknown,0.0,,gainsboro,"[222, 222, 222]",795,84.27027027027027,562.2162162162163
7,34,0.7460569197977597,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",2446,6402.314285714286,585.6857142857143
8,34,0.7460569197977597,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",2205,104.75,586.0882352941177
9,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1503,6020.75,603.5
10,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1491,6041.0,603.0
11,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1349,6061.0,603.0
12,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1420,6080.5,603.0
13,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1491,6101.0,603.0
14,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1349,6121.0,603.0
15,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1491,6141.0,603.0
16,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1349,6161.0,603.0
17,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1420,6180.5,603.0
18,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1491,6201.0,603.0
19,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1420,6221.5,603.0
20,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",5119,6287.8,579.65
21,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",2764,6364.901960784314,589.8823529411765
22,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",5967,182.64864864864865,575.1891891891892
23,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1420,254.5,604.0
24,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1349,274.0,604.0
25,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1420,293.5,604.0
26,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1491,314.0,604.0
